FALTAS LEVES
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
No.       Licencia       Placa     Cantidad       Monto
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1)         26522329       U7R-252        1         158
2)         58992942       H8M-598        1         158
3)         70414420       A7Y-514        1         158
4)         51395324       M4Z-108        1         158
5)         79672079       R7U-941        1         158
6)         49927087       X3E-271        2         316
7)         27864822       T9U-338        1         158
8)         64178096       B7V-643        1         158
9)         64532449       J0V-437        2         316
10)        30046639       P6I-223        2         316
11)        37080813       O9W-355        1         158
12)        79766395       H7P-047        1         158
13)        81528434       D6F-465        1         158
14)        88167677       B4C-100        1         158
15)        48878256       W6Z-142        2         316
16)        47844324       F1H-328        1         158
17)        25518120       F2C-703        1         158
18)        27864822       R5C-239        2         316
19)        60784914       A8J-929        1         158
20)        79766395       N6D-256        1         158
21)        82031355       H6X-124        1         158
22)        52002275       C0S-417        1         158
23)        73972114       J2M-606        1         158
24)        63291514       L3W-411        1         158
25)        79641328       B4R-105        1         158
26)        29989682       B1J-773        1         158
27)        79641328       L0L-653        1         158
28)        34976629       J8B-303        1         158
29)        86429854       K1F-766        1         158
30)        36079131       I0W-872        1         158
31)        73818744       U5N-536        1         158
32)        87282766       S1D-093        1         158
33)        54141214       J7Y-327        1         158
34)        67185679       F1F-571        1         158
35)        60784914       C6Q-548        1         158
36)        73567806       Q9D-870        1         158
37)        30441350       X0F-315        1         158
38)        73567806       A7Y-833        1         158
********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
FALTAS GRAVES
====================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================================
No.       Licencia       Placa     Cantidad       Monto
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1)         81485316       J5T-691        2         632
2)         25518120       E1J-798        2         632
3)         58992942       Q6B-243        1         316
4)         15029228       C0P-895        2         632
